2017-12-09 19:18:13 startup archives install
2017-12-09 19:18:13 install base-passwd:armhf <none> 3.5.39
2017-12-09 19:18:13 status half-installed base-passwd:armhf 3.5.39
2017-12-09 19:18:13 status unpacked base-passwd:armhf 3.5.39
2017-12-09 19:18:13 status unpacked base-passwd:armhf 3.5.39
2017-12-09 19:18:13 configure base-passwd:armhf 3.5.39 3.5.39
2017-12-09 19:18:13 status unpacked base-passwd:armhf 3.5.39
2017-12-09 19:18:13 status half-configured base-passwd:armhf 3.5.39
2017-12-09 19:18:14 status installed base-passwd:armhf 3.5.39
2017-12-09 19:18:14 startup archives install
2017-12-09 19:18:14 install base-files:armhf <none> 9.4ubuntu4
2017-12-09 19:18:14 status half-installed base-files:armhf 9.4ubuntu4
2017-12-09 19:18:14 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:14 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status half-configured base-files:armhf 9.4ubuntu4
2017-12-09 19:18:15 status installed base-files:armhf 9.4ubuntu4
2017-12-09 19:18:16 startup archives install
2017-12-09 19:18:16 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2017-12-09 19:18:16 status half-configured dpkg 1.18.4ubuntu1
2017-12-09 19:18:16 status unpacked dpkg 1.18.4ubuntu1
2017-12-09 19:18:16 status half-installed dpkg 1.18.4ubuntu1
2017-12-09 19:18:16 status half-installed dpkg 1.18.4ubuntu1
2017-12-09 19:18:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 configure dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2017-12-09 19:18:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 status half-configured dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 status installed dpkg:armhf 1.18.4ubuntu1
2017-12-09 19:18:17 startup archives install
2017-12-09 19:18:18 install libc6:armhf <none> 2.23-0ubuntu3
2017-12-09 19:18:18 status half-installed libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:20 status unpacked libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:20 status unpacked libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:20 configure libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2017-12-09 19:18:20 status unpacked libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:20 status unpacked libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:20 status half-configured libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:20 status installed libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:21 startup archives install
2017-12-09 19:18:21 install perl-base:armhf <none> 5.22.1-9
2017-12-09 19:18:21 status half-installed perl-base:armhf 5.22.1-9
2017-12-09 19:18:22 status unpacked perl-base:armhf 5.22.1-9
2017-12-09 19:18:22 status unpacked perl-base:armhf 5.22.1-9
2017-12-09 19:18:22 configure perl-base:armhf 5.22.1-9 5.22.1-9
2017-12-09 19:18:22 status unpacked perl-base:armhf 5.22.1-9
2017-12-09 19:18:22 status half-configured perl-base:armhf 5.22.1-9
2017-12-09 19:18:22 status installed perl-base:armhf 5.22.1-9
2017-12-09 19:18:22 startup archives install
2017-12-09 19:18:23 install mawk:armhf <none> 1.3.3-17ubuntu2
2017-12-09 19:18:23 status half-installed mawk:armhf 1.3.3-17ubuntu2
2017-12-09 19:18:23 status unpacked mawk:armhf 1.3.3-17ubuntu2
2017-12-09 19:18:23 status unpacked mawk:armhf 1.3.3-17ubuntu2
2017-12-09 19:18:23 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2017-12-09 19:18:23 status unpacked mawk:armhf 1.3.3-17ubuntu2
2017-12-09 19:18:23 status half-configured mawk:armhf 1.3.3-17ubuntu2
2017-12-09 19:18:23 status installed mawk:armhf 1.3.3-17ubuntu2
2017-12-09 19:18:23 startup archives install
2017-12-09 19:18:23 install debconf:all <none> 1.5.58ubuntu1
2017-12-09 19:18:23 status half-installed debconf:all 1.5.58ubuntu1
2017-12-09 19:18:24 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:24 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:24 configure debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2017-12-09 19:18:24 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:24 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:24 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:24 status half-configured debconf:all 1.5.58ubuntu1
2017-12-09 19:18:25 status installed debconf:all 1.5.58ubuntu1
2017-12-09 19:18:25 startup archives unpack
2017-12-09 19:18:26 install adduser:all <none> 3.113+nmu3ubuntu4
2017-12-09 19:18:26 status half-installed adduser:all 3.113+nmu3ubuntu4
2017-12-09 19:18:26 status unpacked adduser:all 3.113+nmu3ubuntu4
2017-12-09 19:18:26 status unpacked adduser:all 3.113+nmu3ubuntu4
2017-12-09 19:18:26 upgrade base-files:armhf 9.4ubuntu4 9.4ubuntu4
2017-12-09 19:18:26 status half-configured base-files:armhf 9.4ubuntu4
2017-12-09 19:18:26 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:26 status half-installed base-files:armhf 9.4ubuntu4
2017-12-09 19:18:27 status half-installed base-files:armhf 9.4ubuntu4
2017-12-09 19:18:27 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:27 status unpacked base-files:armhf 9.4ubuntu4
2017-12-09 19:18:27 upgrade base-passwd:armhf 3.5.39 3.5.39
2017-12-09 19:18:27 status half-configured base-passwd:armhf 3.5.39
2017-12-09 19:18:27 status unpacked base-passwd:armhf 3.5.39
2017-12-09 19:18:27 status half-installed base-passwd:armhf 3.5.39
2017-12-09 19:18:27 status half-installed base-passwd:armhf 3.5.39
2017-12-09 19:18:27 status unpacked base-passwd:armhf 3.5.39
2017-12-09 19:18:27 status unpacked base-passwd:armhf 3.5.39
2017-12-09 19:18:28 install bash:armhf <none> 4.3-14ubuntu1
2017-12-09 19:18:28 status half-installed bash:armhf 4.3-14ubuntu1
2017-12-09 19:18:28 status unpacked bash:armhf 4.3-14ubuntu1
2017-12-09 19:18:28 status unpacked bash:armhf 4.3-14ubuntu1
2017-12-09 19:18:28 install bsdutils:armhf <none> 1:2.27.1-6ubuntu3
2017-12-09 19:18:28 status half-installed bsdutils:armhf 1:2.27.1-6ubuntu3
2017-12-09 19:18:29 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-12-09 19:18:29 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-12-09 19:18:29 install coreutils:armhf <none> 8.25-2ubuntu2
2017-12-09 19:18:29 status half-installed coreutils:armhf 8.25-2ubuntu2
2017-12-09 19:18:30 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-12-09 19:18:30 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-12-09 19:18:30 install dash:armhf <none> 0.5.8-2.1ubuntu2
2017-12-09 19:18:30 status half-installed dash:armhf 0.5.8-2.1ubuntu2
2017-12-09 19:18:30 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-12-09 19:18:30 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-12-09 19:18:31 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2017-12-09 19:18:31 status half-configured debconf:all 1.5.58ubuntu1
2017-12-09 19:18:31 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:31 status half-installed debconf:all 1.5.58ubuntu1
2017-12-09 19:18:31 status half-installed debconf:all 1.5.58ubuntu1
2017-12-09 19:18:31 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:31 status unpacked debconf:all 1.5.58ubuntu1
2017-12-09 19:18:32 install debianutils:armhf <none> 4.7
2017-12-09 19:18:32 status half-installed debianutils:armhf 4.7
2017-12-09 19:18:32 status unpacked debianutils:armhf 4.7
2017-12-09 19:18:32 status unpacked debianutils:armhf 4.7
